ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile,Time period,regiao,id_desenvolvimento_regiao,HDI Rank,idh_2019
ALB,Albania,ECA,More Developed,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2018.0,Europe and Central Asia,3,69,0.7950000166893005
AGO,Angola,SSA,Least Developed,15.0,17.0,14.0,28.0,10.0,31.0,26.0,16.0,6.0,4.0,2016.0,Sub-Saharan Africa,1,148,0.5809999704360962
ARM,Armenia,ECA,Less Developed,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2016.0,Europe and Central Asia,2,81,0.7760000228881836
BGD,Bangladesh,SA,Least Developed,13.0,8.0,18.0,13.0,12.0,19.0,15.0,11.0,11.0,7.0,2019.0,South Asia,1,133,0.6320000290870667
BLZ,Belize,LAC,Less Developed,9.0,9.0,10.0,12.0,4.0,15.0,13.0,9.0,4.0,2.0,2016.0,Latin America and Caribbean,2,110,0.7160000205039978
BEN,Benin,SSA,Least Developed,41.0,47.0,36.0,48.0,31.0,65.0,52.0,42.0,31.0,18.0,2018.0,Sub-Saharan Africa,1,158,0.5450000166893005
BWA,Botswana,SSA,Less Developed,4.0,5.0,4.0,7.0,3.0,31.0,26.0,21.0,17.0,9.0,2017.0,Sub-Saharan Africa,2,100,0.7350000143051147
BRA,Brazil,LAC,Less Developed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2019.0,Latin America and Caribbean,2,84,0.7649999856948853
BDI,Burundi,SSA,Least Developed,29.0,28.0,31.0,31.0,20.0,49.0,35.0,26.0,20.0,22.0,2017.0,Sub-Saharan Africa,1,185,0.43299999833106995
CMR,Cameroon,SSA,Less Developed,19.0,22.0,16.0,28.0,10.0,40.0,27.0,16.0,10.0,5.0,2018.0,Sub-Saharan Africa,2,153,0.5630000233650208
CHL,Chile,LAC,Less Developed,1.0,1.0,0.0,0.0,1.0,14.0,7.0,4.0,3.0,3.0,2017.0,Latin America and Caribbean,2,43,0.8510000109672546
